name,realname,magnitude,prob,tectonic_type,batch,video,version,notes,planes
AwatereSW,Awatere(SW),7.13,4.15,Crustal,,,,,[[[-42.0618| 173.2811]| [-42.1566| 172.8139]| [-42.1566| 172.8139]| [-42.0618| 173.2811]]| [[-42.1569| 172.8128]| [-42.3164| 172.4538]| [-42.3164| 172.4538]| [-42.1569| 172.8128]]| [[-42.3167| 172.4527]| [-42.3466| 172.2373]| [-42.3466| 172.2373]| [-42.3167| 172.4527]]]
Barefell,Barefell,6.64,1.37,Crustal,,,,,[[[-42.0635| 173.2792]| [-42.1147| 173.1785]| [-42.0881| 173.0806]| [-42.037| 173.1813]]| [[-42.1153| 173.1778]| [-42.1928| 173.1283]| [-42.1663| 173.0303]| [-42.0888| 173.0798]]| [[-42.1937| 173.1279]| [-42.2461| 173.1165]| [-42.2197| 173.0183]| [-42.1672| 173.0299]]]
Bidwill,Bidwill,6.52,0.95,Crustal,,,,,[[[-41.1503| 175.4828]| [-41.1695| 175.47]| [-41.1204| 175.3572]| [-41.1012| 175.3701]]| [[-41.1702| 175.4693]| [-41.2029| 175.4102]| [-41.1538| 175.2974]| [-41.1211| 175.3565]]| [[-41.2035| 175.4092]| [-41.2346| 175.3469]| [-41.1855| 175.234]| [-41.1544| 175.2964]]]
Billys,Billys,6.94,0.53,Crustal,,,,,[[[-45.34| 170.5175]| [-45.4328| 170.3385]| [-45.3092| 170.1915]| [-45.2167| 170.3704]]| [[-45.4335| 170.3378]| [-45.506| 170.29]| [-45.3825| 170.1426]| [-45.31| 170.1905]]| [[-45.5067| 170.2892]| [-45.5511| 170.2185]| [-45.4276| 170.0711]| [-45.3833| 170.1418]]]
BlueLk,Blue Lake,6.9,0.82,Crustal,,,,,[[[-44.9396| 169.9064]| [-44.8885| 169.8207]| [-44.8593| 169.8922]| [-44.9103| 169.9779]]| [[-44.8878| 169.8199]| [-44.6953| 169.7104]| [-44.6661| 169.7817]| [-44.8585| 169.8914]]| [[-44.6945| 169.7103]| [-44.6137| 169.7367]| [-44.5844| 169.8079]| [-44.6652| 169.7816]]]
BlueMtn,Blue Mountain,7.05,0.39,Crustal,,,,,[[[-46.0614| 169.2404]| [-45.9889| 169.2651]| [-46.0535| 169.3982]| [-46.126| 169.3736]]| [[-45.9881| 169.2656]| [-45.9406| 169.295]| [-46.0051| 169.428]| [-46.0526| 169.3986]]| [[-45.9398| 169.2957]| [-45.8888| 169.3483]| [-45.9534| 169.4811]| [-46.0044| 169.4286]]| [[-45.8881| 169.3489]| [-45.8706| 169.3584]| [-45.9351| 169.4911]| [-45.9526| 169.4816]]| [[-45.8698| 169.3591]| [-45.8138| 169.4448]| [-45.8783| 169.5775]| [-45.9344| 169.4918]]| [[-45.8132| 169.4457]| [-45.6971| 169.6049]| [-45.7616| 169.7373]| [-45.8778| 169.5783]]]
BooBooALL,BooBoo,7.22,5.22,Crustal,,,,,[[[-41.675| 175.5827]| [-41.6683| 175.3423]| [-41.6683| 175.3423]| [-41.675| 175.5827]]| [[-41.6683| 175.3411]| [-41.675| 174.9689]| [-41.675| 174.9689]| [-41.6683| 175.3411]]| [[-41.6751| 174.9677]| [-41.7216| 174.7023]| [-41.7216| 174.7023]| [-41.6751| 174.9677]]| [[-41.7216| 174.7011]| [-41.71| 174.4606]| [-41.71| 174.4606]| [-41.7216| 174.7011]]]
BooBooEAST,BooBoo (east segment),7.11,3.83,Crustal,,,,,[[[-41.675| 175.5827]| [-41.6683| 175.3423]| [-41.6683| 175.3423]| [-41.675| 175.5827]]| [[-41.6683| 175.3411]| [-41.675| 174.9689]| [-41.675| 174.9689]| [-41.6683| 175.3411]]| [[-41.6751| 174.9677]| [-41.7216| 174.7023]| [-41.7216| 174.7023]| [-41.6751| 174.9677]]]
Braemar,Braemar,6.52,5.45,Volcanic,,,,,[[[-38.1333| 176.5241]| [-38.0938| 176.5965]| [-38.1321| 176.6547]| [-38.1716| 176.5823]]| [[-38.0932| 176.5973]| [-38.0622| 176.6283]| [-38.1006| 176.6864]| [-38.1315| 176.6555]]| [[-38.0616| 176.629]| [-38.0022| 176.7115]| [-38.0405| 176.7696]| [-38.0999| 176.6871]]| [[-38.0014| 176.7122]| [-37.9256| 176.7584]| [-37.9639| 176.8164]| [-38.0398| 176.7703]]]
Brothers,Brothers,6.78,0.13,Crustal,,,,,[[[-44.3912| 171.0117]| [-44.107| 170.8322]| [-44.0743| 170.9298]| [-44.3583| 171.1097]]]
Browning,Browning,6.69,4.83,Crustal,,,,,[[[-42.8353| 171.5078]| [-42.8862| 171.47]| [-42.8474| 171.3787]| [-42.7966| 171.4165]]| [[-42.8867| 171.4692]| [-42.9047| 171.407]| [-42.866| 171.3156]| [-42.848| 171.3778]]| [[-42.9052| 171.406]| [-42.9345| 171.3734]| [-42.8958| 171.282]| [-42.8665| 171.3146]]| [[-42.9351| 171.3725]| [-42.9663| 171.3019]| [-42.9276| 171.2105]| [-42.8964| 171.2811]]| [[-42.9669| 171.301]| [-43.0046| 171.2551]| [-42.9658| 171.1636]| [-42.9282| 171.2095]]]
BrunAnt,Brunna Anticline,6.94,0.46,Crustal,,,,,[[[-42.272| 171.4712]| [-42.2814| 171.4587]| [-42.2814| 171.4587]| [-42.272| 171.4712]]| [[-42.2821| 171.4581]| [-42.3579| 171.4169]| [-42.3579| 171.4169]| [-42.2821| 171.4581]]| [[-42.3587| 171.4165]| [-42.3829| 171.4085]| [-42.3829| 171.4085]| [-42.3587| 171.4165]]| [[-42.3837| 171.408]| [-42.4913| 171.3137]| [-42.4913| 171.3137]| [-42.3837| 171.408]]| [[-42.492| 171.3129]| [-42.5347| 171.2521]| [-42.5347| 171.2521]| [-42.492| 171.3129]]| [[-42.5353| 171.2513]| [-42.5763| 171.2037]| [-42.5763| 171.2037]| [-42.5353| 171.2513]]| [[-42.5771| 171.2031]| [-42.7229| 171.1269]| [-42.7229| 171.1269]| [-42.5771| 171.2031]]]
CBalleny,CBalleny,7.08,5.22,Crustal,,,,,[[[-46.5338| 165.8333]| [-46.6662| 165.8333]| [-46.6662| 165.8333]| [-46.5338| 165.8333]]| [[-46.6671| 165.8332]| [-46.7496| 165.8002]| [-46.7496| 165.8002]| [-46.6671| 165.8332]]| [[-46.7504| 165.8]| [-47.1329| 165.8]| [-47.1329| 165.8]| [-46.7504| 165.8]]]
CEgmontC,Cape Egmont (Central segment),6.73,3.12,Crustal,,,,,[[[-39.6002| 173.4993]| [-39.6829| 173.4001]| [-39.6501| 173.3091]| [-39.5676| 173.4084]]| [[-39.6836| 173.3995]| [-39.8328| 173.3166]| [-39.8001| 173.2254]| [-39.651| 173.3084]]]
CEgmontN,Cape Egmont (North segment),6.74,2.93,Crustal,,,,,[[[-39.3836| 173.7327]| [-39.5662| 173.5667]| [-39.5334| 173.4759]| [-39.3509| 173.642]]| [[-39.5668| 173.5659]| [-39.5997| 173.5002]| [-39.5669| 173.4093]| [-39.5341| 173.475]]]
Calypso02,Calypso (segment 2),6.15,13.83,Volcanic,2,https://youtu.be/dYhUnxd1aCg,1,,[[[-37.5484| 177.1943]| [-37.6345| 177.0851]| [-37.5924| 177.0316]| [-37.5064| 177.1408]]]
Calypso03,Calypso (segment 3),5.91,17.81,Volcanic,2,https://youtu.be/RF1KQvVXans,1,,[[[-37.5435| 177.1973]| [-37.5237| 177.2812]| [-37.581| 177.3028]| [-37.6007| 177.2189]]]
CardronaN,Cardrona (north segment),6.84,0.8,Crustal,,,,,[[[-44.5586| 169.2944]| [-44.6428| 169.235]| [-44.5963| 169.122]| [-44.5121| 169.1816]]| [[-44.6436| 169.2343]| [-44.8046| 169.0385]| [-44.7579| 168.9252]| [-44.5971| 169.1212]]]
CardronaS,Cardrona (South segment),6.76,0.97,Crustal,,,,,[[[-44.8053| 169.0378]| [-45.0428| 168.9066]| [-44.9962| 168.7929]| [-44.7589| 168.9245]]]
Carterton,Carterton,7.04,3.41,Crustal,,,,,[[[-40.8652| 176.1145]| [-40.8946| 176.0737]| [-40.8701| 176.055]| [-40.8407| 176.0958]]| [[-40.895| 176.0727]| [-40.9315| 175.8872]| [-40.9069| 175.8685]| [-40.8705| 176.0539]]| [[-40.9318| 175.8861]| [-41.0064| 175.6605]| [-40.9818| 175.6417]| [-40.9072| 175.8673]]| [[-41.0066| 175.6593]| [-41.0| 175.5305]| [-40.9754| 175.5118]| [-40.982| 175.6405]]| [[-41.0001| 175.5294]| [-41.0281| 175.4322]| [-41.0035| 175.4134]| [-40.9755| 175.5106]]]
Caswell1,Caswell (segment 1),7.2,0.66,Crustal,,,,,[[[-45.8831| 165.4006]| [-45.6005| 165.6665]| [-45.6716| 165.7522]| [-45.9544| 165.4863]]| [[-45.5998| 165.6672]| [-45.3006| 165.8999]| [-45.3716| 165.985]| [-45.671| 165.7525]]]
Caswell211,Caswell211,6.78,1.72,Crustal,,,,,[[[-45.4669| 165.8496]| [-45.5994| 165.8]| [-45.5282| 165.7147]| [-45.3957| 165.7645]]| [[-45.6002| 165.7994]| [-45.6995| 165.7002]| [-45.6282| 165.6148]| [-45.529| 165.7141]]]
Caswell3,Caswell3,6.73,1.99,Crustal,,,,,[[[-45.4331| 165.8672]| [-45.3005| 165.9998]| [-45.3716| 166.0849]| [-45.5043| 165.9524]]| [[-45.2997| 166.0002]| [-45.234| 166.0002]| [-45.3051| 166.0851]| [-45.3708| 166.0852]]]
Caswell4,Caswell4,7.02,1,Crustal,,,,,[[[-45.3998| 165.8671]| [-45.2506| 165.9666]| [-45.3217| 166.0516]| [-45.4709| 165.9522]]| [[-45.2498| 165.9672]| [-45.0172| 166.1998]| [-45.0883| 166.2846]| [-45.321| 166.052]]]
Caswell5,Caswell5,6.95,0.81,Crustal,,,,,[[[-45.1832| 166.0673]| [-44.9005| 166.4664]| [-44.9578| 166.5347]| [-45.2407| 166.1356]]]
CaswellH10,CaswellH10,6.76,2.11,Crustal,,,,,[[[-44.6832| 166.784]| [-44.5005| 167.0164]| [-44.5715| 167.1004]| [-44.7544| 166.8679]]]
